track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2,2,6,0,468839.688,4.69e-05,,Minor,33,51,59,76,0,44,6,80,F,,2,Pop
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,469803.924,4.7e-05,,Minor,79,96,86,9,0,9,9,130,G,,168,Pop
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,39,45,27,0,470938.914,4.71e-05,,Minor,81,6,84,5,23,6,6,140,C#,,1,Hip-Hop
Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,474571.62,4.75e-05,,Minor,60,68,84,4,0,24,11,158,G#,,0,Hip-Hop
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,18,0,484550.1,4.85e-05,,Major,71,80,65,51,0,22,32,78,G#,,33,Rock
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,6,9,26,1,486613.518,4.87e-05,,Minor,84,65,50,67,0,13,6,124,D#,,66,
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,488104.47,4.88e-05,,Minor,84,54,51,47,0,12,40,120,C#,,0,Hip-Hop
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,488516.334,4.89e-05,,Major,70,29,73,12,0,11,26,98,C#,,21,Hip-Hop
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,0,0,498128.808,4.98e-05,,Major,68,83,81,9,0,8,4,144,D,,0,Rock
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,16,0,9,0,508186.374,5.08e-05,,Minor,65,24,53,6,0,51,4,83,D#,,0,Hip-Hop
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,36,38,13,0,513356.19,5.13e-05,,Minor,74,22,67,0,0,11,46,162,F,,3,Hip-Hop
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,515549.952,5.16e-05,,Major,88,52,69,0,0,8,23,157,A,,0,Hip-Hop
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,9,0,8,0,517061.34,5.17e-05,,Major,61,66,71,53,0,32,46,123,G#,,0,Rock
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,518669.052,5.19e-05,,Minor,65,87,74,22,0,42,4,140,F,,0,Hip-Hop
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,520641.792,5.21e-05,,Minor,61,20,48,21,0,12,6,146,B,,10,Hip-Hop
Special,SZA,1,2022,12,9,906,0,88092256,6,21,3,0,528553.536,5.29e-05,,Major,60,19,20,78,0,11,5,76,,,0,Hip-Hop
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7,18,7,0,528623.088,5.29e-05,,Major,41,27,64,36,0,60,3,135,C#,,0,
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,4,20,0,0,532746.654,5.33e-05,,Minor,64,67,80,0,0,36,3,121,F#,,0,
Chance,Paulo Londra,1,2022,4,6,225,0,89566512,11,0,7,0,537399.072,5.37e-05,,Minor,72,22,46,24,0,9,6,138,C#,,0,Hip-Hop
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,8,60,4,1,539598.798,5.4e-05,,Major,70,42,43,78,0,11,3,129,G#,,109,Hip-Hop
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,8,77,2,1,540151.548,5.4e-05,,Minor,70,86,68,24,0,11,4,123,G,,1,
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,1,323,0,90598517,4,0,14,0,543591.102,5.44e-05,,Minor,65,49,80,22,4,7,5,130,F#,,0,
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,40,58,47,8,545038.518,5.45e-05,,Minor,82,89,85,4,0,23,6,127,B,,203,Hip-Hop
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,9,0,547329.75,5.47e-05,,Major,77,35,88,16,0,17,9,137,G#,,55,Hip-Hop
My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,548840.178,5.49e-05,,Major,60,24,39,57,0,8,3,144,A,,0,Romantic
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,549936.156,5.5e-05,,Major,75,85,84,10,0,31,19,110,D,,0,Pop
So Good,Halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,550687.578,5.51e-05,,Minor,63,29,62,4,0,18,4,83,D#,,0,Pop
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,9,0,552210.69,5.52e-05,,Minor,80,38,88,11,0,11,5,104,E,,49,Pop
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,8,5,2,0,560205.222,5.6e-05,,Minor,85,40,43,4,0,39,32,142,F,,0,Hip-Hop
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11,93438910,11,15,14,3,560633.46,5.61e-05,,Major,86,68,79,39,0,11,29,140,F#,,1,
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665,6,1,21,0,561525.99,5.62e-05,,Major,53,40,36,73,0,11,33,83,C#,,1,
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,7,29,3,0,564034.716,5.64e-05,,Minor,73,71,69,53,0,32,9,150,A#,,0,Hip-Hop
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,565118.796,5.65e-05,,Minor,60,13,53,4,0,21,4,90,A,,44,Hip-Hop
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,567698.922,5.68e-05,,Minor,59,70,74,56,0,11,40,71,C#,,0,Hip-Hop
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13,110,8,2,570321.804,5.7e-05,,Major,78,70,81,57,0,10,5,122,,,60,Hip-Hop
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,570791.988,5.71e-05,,Minor,74,76,76,6,0,10,9,172,C#,,162,Hip-Hop
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,571303.89,5.71e-05,,Minor,85,22,62,12,0,28,9,130,C#,,953,Hip-Hop
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,0,0,573738.888,5.74e-05,,Major,56,72,85,0,0,15,3,104,G#,,103,Rock
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,11,2,574896.144,5.75e-05,,Minor,73,44,57,39,0,32,6,89,G,,24,Pop
Alone,Burna Boy,1,2022,11,4,782,2,96007391,27,18,32,1,576044.346,5.76e-05,,Minor,61,32,67,15,0,11,5,90,E,,0,Hip-Hop
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,577081.662,5.77e-05,,Minor,60,10,57,1,0,50,3,119,A,,0,Pop
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,577642.476,5.78e-05,,Minor,82,69,83,3,0,27,5,130,E,,148,Pop
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,28,67,195,0,585662.676,5.86e-05,,Major,56,43,53,24,0,12,4,145,G,,0,
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,5,31,1,0,592255.974,5.92e-05,,Major,65,35,65,44,18,21,7,152,C#,,0,Hip-Hop
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11,3,18,1,542211.9102,5.42e-05,,Minor,72,79,78,55,0,15,30,124,B,,1,
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,546020.9136,5.46e-05,,Minor,49,49,59,44,0,35,21,87,E,,0,Hip-Hop
Right On,Lil Baby,1,2022,4,8,1116,0,101780047,31,9,15,0,549612.2538,5.5e-05,,Major,70,22,61,2,0,10,34,166,D,,1,Pop
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,6,0,560317.5972,5.6e-05,,Major,74,75,73,42,0,9,4,144,F,,0,
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664,86,1,49,0,560453.3856,5.6e-05,,Major,70,84,90,17,0,41,6,115,,,9,Pop
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,0,0,566961.9084,5.67e-05,,Major,90,74,68,14,0,10,19,148,A,,0,Pop
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29,3,18,0,567336.1716,5.67e-05,,Minor,84,44,67,8,0,11,6,137,C#,,19,Pop
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,3,8,5,0,573745.7826,5.74e-05,,Major,64,11,53,1,0,25,27,120,D,,0,Hip-Hop
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,26,1,17,0,577366.272,5.77e-05,,Minor,82,82,66,13,0,11,6,150,G#,,0,Pop
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,577438.7778,5.77e-05,,Major,89,59,64,5,0,19,7,88,G,,0,Pop
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,579179.5488,5.79e-05,,Minor,47,50,80,10,0,32,38,147,G#,,0,Hip-Hop
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12,56,13,0,581271.1686,5.81e-05,,Minor,71,83,89,1,0,17,9,125,A#,,13,Pop
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,581870.79,5.82e-05,,Minor,72,17,64,7,0,10,5,106,A#,,110,Hip-Hop
Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090,41,122,394,0,587569.086,5.88e-05,,Minor,56,58,55,35,0,23,11,88,D,,2,
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573,0,0,14,0,589094.4942,5.89e-05,,Major,77,68,70,6,0,17,20,81,,,0,Hip-Hop
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,31,0,590091.1128,5.9e-05,,Major,63,22,54,46,0,12,8,140,,,189,Hip-Hop
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,16,20,4,0,594395.55,5.94e-05,,Major,62,59,43,84,3,11,5,125,F#,,0,Rock
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,3,7,10,0,597509.9568,5.98e-05,,Major,80,15,54,9,0,38,5,112,G#,,0,Hip-Hop
Love Language,SZA,1,2022,12,9,1127,0,110849052,16,63,8,0,598584.8808,5.99e-05,,Minor,71,55,26,85,0,13,8,65,A,,0,Pop
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,604517.3856,6.05e-05,,Major,86,59,96,50,1,9,5,130,B,,167,
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,6,5,3,0,607156.5762,6.07e-05,,Major,93,62,61,0,0,12,20,144,F,,0,Hip-Hop
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,612951.2784,6.13e-05,,Major,82,51,39,2,0,9,49,155,C#,,171,Hip-Hop
For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,618550.1118,6.19e-05,,Major,63,29,51,43,0,25,4,117,D,,0,Hip-Hop
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,43,5,621054.216,6.21e-05,,Major,82,47,62,10,0,10,15,91,G,,44,
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,622791.6768,6.23e-05,,Minor,70,26,56,14,83,11,5,150,F,,0,Hip-Hop
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,622968.6294,6.23e-05,,Major,85,83,68,7,0,36,20,99,C#,,"1,093",Pop
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341,21,0,44,0,627179.4414,6.27e-05,,Minor,89,48,74,30,0,7,36,130,E,,0,
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,2,1,628206.8454,6.28e-05,,Minor,70,76,79,26,0,11,7,142,G,,9,Hip-Hop
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,8,0,629638.866,6.3e-05,,Minor,68,81,82,53,0,9,13,94,B,,9,Hip-Hop
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11,29,14,0,631279.3266,6.31e-05,,Minor,74,35,73,0,0,21,5,123,F#,,0,
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,15,0,632917.773,6.33e-05,,Minor,65,71,56,4,0,15,20,87,F,,6,Hip-Hop
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,635838.6978,6.36e-05,,Major,44,36,41,50,0,38,5,98,F,,20,Hip-Hop
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354,12,2,4,0,639259.3116,6.39e-05,,Major,86,91,79,29,0,60,16,92,,,0,
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,639804.6738,6.4e-05,,Major,62,57,59,3,0,38,3,93,G,,78,Hip-Hop
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,10,2,641575.3662,6.42e-05,,Major,70,83,84,31,0,47,30,85,G,,9,Hip-Hop
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7,47,15,0,643886.9064,6.44e-05,,Minor,80,62,51,2,0,9,8,121,G,,0,Rock
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157,34,39,30,0,652574.6478,6.53e-05,,Minor,91,73,72,13,0,9,15,105,A,,0,
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253,33,7,53,2,653250.1662,6.53e-05,,Minor,68,83,71,3,0,31,8,90,A#,,0,
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,15,3,3,0,653820.4872,6.54e-05,,Major,71,37,52,62,0,11,36,96,B,,0,Hip-Hop
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,654421.9824,6.54e-05,,Major,85,80,83,10,0,8,11,90,C#,,0,Hip-Hop
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,658108.098,6.58e-05,,Major,42,7,24,83,1,12,6,166,F#,,0,Pop
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181,26,1,58,0,658331.1774,6.58e-05,,Minor,28,26,20,19,0,30,3,71,,,0,
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,9,1,12,4,662923.8288,6.63e-05,,Major,92,73,51,55,0,15,6,135,D,,3,Pop
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,664861.0302,6.65e-05,,Major,81,63,68,11,0,11,4,120,,,184,Hip-Hop
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,37,50,79,11,664870.0104,6.65e-05,,Major,75,35,48,84,0,10,12,144,B,,31,
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,7,0,664916.8554,6.65e-05,,Minor,68,38,88,1,0,8,5,122,E,,55,Hip-Hop
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717,22,0,23,0,665370.2718,6.65e-05,,Minor,92,78,57,46,0,14,9,140,C#,,0,Rock
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,54,6,124,1,666754.848,6.67e-05,,Major,81,90,73,28,0,29,4,126,A,,0,Pop
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,671800.1328,6.72e-05,,Major,63,31,35,93,0,29,3,110,A#,,0,Rock
LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687,105,41,114,1,674938.9098,6.75e-05,,Minor,56,56,63,13,0,19,27,170,F#,,59,Hip-Hop
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,0,0,679953.312,6.8e-05,,Minor,66,43,76,49,0,12,3,140,D#,,66,
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104,3,7,13,0,681431.9616,6.81e-05,,Major,78,51,43,69,0,14,9,134,G,,1,Hip-Hop
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991,5,0,4,0,682797.5514,6.83e-05,,Minor,71,63,45,45,0,11,3,84,E,,1,Romantic
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,685943.7102,6.86e-05,,Minor,78,90,84,31,0,7,4,133,A,,1,Hip-Hop
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715,65,39,41,0,685949.661,6.86e-05,,Minor,69,96,36,81,0,8,4,107,F#,,0,Hip-Hop
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180,4,0,22,0,687469.572,6.87e-05,,Minor,55,50,78,19,0,11,35,153,A#,,0,Rock
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,688008.3516,6.88e-05,,Minor,67,78,85,2,0,33,5,110,B,,0,Pop
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,688864.716,6.89e-05,,Minor,49,17,35,71,9,11,3,100,F#,,0,Pop
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,698299.4232,6.98e-05,,Minor,71,78,40,46,0,7,45,130,D#,,30,Hip-Hop
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412,18,124,24,1,704264.8248,7.04e-05,,Minor,44,41,92,0,0,44,7,140,F,,0,Pop
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,17,80,38,0,705541.3362,7.06e-05,,Minor,70,35,77,1,0,26,4,121,A#,,0,Romantic
die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,711429.345,7.11e-05,,Minor,44,44,67,7,0,12,13,183,G#,,0,Pop
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,26,2,15,0,713728.665,7.14e-05,,Major,47,7,50,32,0,7,4,144,E,,2,
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,722067.9444,7.22e-05,,Major,71,61,74,7,0,10,4,92,C#,,382,Pop
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,15,1,722270.1258,7.22e-05,,Minor,53,24,67,11,0,10,28,74,A#,,0,Pop
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,723036.3048,7.23e-05,,Major,82,67,77,8,0,12,5,97,C#,,0,Hip-Hop
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,724981.266,7.25e-05,,Major,64,25,89,0,0,15,9,122,G#,,451,Pop
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,20,1,71,2,725190.2892,7.25e-05,,Major,81,97,77,75,0,35,3,135,F,,0,Hip-Hop
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,729427.4208,7.29e-05,,Major,52,44,60,40,0,26,3,123,G,,0,Pop
O.O,NMIXX,1,2022,2,22,290,0,135444283,9,66,10,0,731399.1282,7.31e-05,,Minor,39,28,77,4,0,6,29,200,B,,0,Hip-Hop
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,2,74,14,0,732301.6734,7.32e-05,,Major,49,42,77,3,0,12,9,155,G#,,2,Rock
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72,90,141,0,732907.1052,7.33e-05,,Major,59,60,94,24,0,10,4,114,,,0,Pop
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,34,0,29,0,738053.1216,7.38e-05,,Major,88,15,56,1,0,8,6,120,G,,0,Rock
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,10,6,7,1,738123.5646,7.38e-05,,Minor,70,92,59,3,0,10,3,100,B,,9,Rock
ZOOM,Jessi,1,2022,4,13,608,0,136996305,5,29,14,0,739780.047,7.4e-05,,Major,87,46,60,1,0,13,16,100,F#,,0,Rock
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,26,2,30,0,740182.995,7.4e-05,,Major,42,32,20,94,0,11,4,118,,,0,Pop
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,1,1,740468.952,7.4e-05,,Major,70,35,41,41,0,10,3,134,G,,18,Hip-Hop
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,0,0,2,0,747005.9382,7.47e-05,,Major,83,56,82,10,0,9,5,92,F#,,0,Pop
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,747995.3964,7.48e-05,,Major,63,75,92,31,0,91,5,154,F#,,29,Hip-Hop
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812,27,2,31,0,751646.5848,7.52e-05,,Minor,87,28,50,12,0,10,10,119,C#,,0,Hip-Hop
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,30,0,754282.6056,7.54e-05,,Major,77,94,66,65,0,38,3,120,D,,320,Pop
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,101,0,0,755114.7024,7.55e-05,,Major,59,44,56,80,0,6,3,94,A,,48,
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,756021.4596,7.56e-05,,Major,51,32,53,17,0,31,6,138,F,,949,Pop
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018,21,79,2,0,757009.8972,7.57e-05,,Minor,77,65,80,6,0,15,4,116,G#,,0,
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,758323.8306,7.58e-05,,Minor,49,13,74,0,0,9,4,125,D#,,,Romantic
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,763461.1962,7.63e-05,,Major,80,89,83,31,0,8,4,125,B,,826,Pop
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,26,9,17,0,765293.3946,7.65e-05,,Major,73,25,61,1,0,32,7,104,C#,,3,Hip-Hop
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,767314.485,7.67e-05,,Major,50,85,52,11,0,28,6,192,B,,56,Hip-Hop
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,772952.4252,7.73e-05,,Minor,79,86,52,66,0,9,7,154,D,,0,Hip-Hop
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,775298.385,7.75e-05,,Major,57,84,94,11,0,37,9,166,C#,,117,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,780651.81,7.81e-05,,Major,83,69,44,15,0,10,33,143,D#,,478,Hip-Hop
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,48,0,780757.92,7.81e-05,,Major,57,68,76,7,0,33,3,92,F,,150,Pop
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418,12,57,47,1,785475.4572,7.85e-05,,Major,67,55,67,60,0,80,5,108,D,,33,Hip-Hop
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492,14,12,12,2,789606.8568,7.9e-05,,Major,80,82,81,14,0,13,36,138,A#,,28,Hip-Hop
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,11,6,12,0,790360.902,7.9e-05,,Major,71,55,44,74,0,11,6,108,F#,,15,Pop
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,20,0,790612.2234,7.91e-05,,Major,82,53,67,34,0,9,8,94,B,,1,Hip-Hop
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379,46,1,34,0,792662.6466,7.93e-05,,Major,53,31,31,92,0,28,3,134,,,0,Romantic
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,4,2,795367.8252,7.95e-05,,Major,57,80,59,8,0,6,5,182,A,,37,Hip-Hop
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,57,4,48,0,796710.4434,7.97e-05,,Minor,66,47,40,72,0,11,3,107,B,,0,Pop
