track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,"6,591",1,6537237.23,0.000653724,,Major,81,53,78,18,0,6,24,93,B,,0,Hip-Hop
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,6556050.133,0.000655605,,Minor,84,85,68,58,0,22,4,125,G,,210,Hip-Hop
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,30,80,588,1,6572451.834,0.000657245,,Major,52,20,85,0,0,7,5,140,,,1,Rock
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,6597792.808,0.000659779,,Major,65,63,79,3,0,10,3,118,,,10,Romantic
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149,122,88,580,21,6606798.205,0.00066068,,Minor,72,59,76,24,0,42,28,77,B,,10,Hip-Hop
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,6606798.205,0.00066068,,Major,73,54,74,23,0,41,23,77,G,,0,Hip-Hop
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,6645649.806,0.000664565,,Major,71,24,47,1,0,27,9,131,D,,154,Hip-Hop
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859,85,43,134,0,6646621.639,0.000664662,,Major,29,12,33,68,0,12,5,176,D#,,,Romantic
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,"4,607",1,6669029.878,0.000666903,,Major,73,60,77,3,0,11,4,128,C#,,58,Romantic
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,"2,394",5,6704418.832,0.000670442,,Minor,62,24,67,21,0,13,28,84,E,,204,Hip-Hop
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873,175,55,95,0,6763844.914,0.000676384,,Major,73,66,80,44,0,9,12,144,,,2,Romantic
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,117,39,141,0,6787155.548,0.000678716,,Major,44,22,60,61,0,42,9,181,A,,46,Romantic
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,6807210.284,0.000680721,,Major,64,44,65,28,0,14,12,180,C#,,0,Hip-Hop
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,6827278.514,0.000682728,,Minor,65,19,72,10,0,13,25,107,F,,166,
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54,70,"1,089",2,6843600.09,0.00068436,,Major,70,81,63,4,0,8,4,92,D,,1,Rock
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146,72,"6,807",5,6864983.512,0.000686498,,Major,53,12,34,1,0,12,4,92,G,,80,Rock
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,119,81,974,1,6908948.26,0.000690895,,Major,47,86,92,8,0,5,24,130,,,503,Hip-Hop
Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608,137,5,582,0,6938690.083,0.000693869,,Minor,32,49,72,0,0,9,4,156,B,,0,Romantic
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,7003941.62,0.000700394,,Minor,48,44,42,12,2,11,3,135,,,73,Rock
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,82,1,231,0,7029719.471,0.000702972,,Major,47,25,43,62,0,32,3,92,F,,2,Romantic
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,543,18,7031794.07,0.000703179,,Major,79,82,86,28,0,4,9,141,D,,,Romantic
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953,162,116,355,7,7043295.346,0.00070433,,Major,61,24,62,60,0,24,31,176,D,,0,Hip-Hop
Pepas,Farruko,1,2021,6,24,14114,17,1309887447,252,109,965,20,7073392.214,0.000707339,,Major,76,44,77,1,0,13,3,130,G,,,Hip-Hop
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,7111020.866,0.000711102,,Major,71,65,68,6,0,3,7,118,,,"1,021",Romantic
Woman,Doja Cat,1,2021,6,25,9424,0,1329090101,202,50,463,4,7177086.545,0.000717709,,Minor,82,88,76,9,0,12,9,108,F,,,Hip-Hop
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,7322179.005,0.000732218,,Major,75,57,68,9,0,13,6,96,F,,81,Romantic
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,7325451.502,0.000732545,,Major,62,55,78,1,3,23,4,128,D,,176,Hip-Hop
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,21,0,386,0,7331087.38,0.000733109,,Major,63,40,61,9,0,56,6,80,G#,,,Hip-Hop
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,39,0,"7,341",0,7351695.2,0.00073517,,Major,50,24,86,0,0,64,4,110,A,,0,Rock
Beggin,Mï¿½ï¿½ne,1,2017,12,8,8559,0,1367810478,183,64,964,9,7386176.581,0.000738618,,Minor,71,59,80,13,0,36,5,134,B,,75,Rock
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,7422738.334,0.000742274,,Minor,65,51,55,73,0,14,3,150,C#,,0,Romantic
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,657,22,7593000.988,0.0007593,,Major,60,13,37,58,0,13,3,142,F,,9,Romantic
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,70,82,939,1,7614479.682,0.000761448,,Major,45,10,37,97,25,64,4,174,D,,162,Romantic
