artist,collaborators,followers
Treasure,,
Sidhu Moose Wala,,
Dave,Central Cee,
Central Cee,Dave,
RAYE,070 Shake,
070 Shake,RAYE,
Suki Waterhouse,,
Keisya Levronka,,
Lauren Spencer Smith,Lauren Spencer Smith,
Olga Merediz,"Encanto - Cast, Stephanie Beatriz",
Encanto - Cast,"Carolina Gaitan, Diane Guerrero, Stephanie Beatriz, Rhenzy Feliz, Mauro Castillo, Adassa, Olga Merediz",
Leah Kate,,
MC Ryan SP,"Love Funk, Mc Paiva ZS",
Love Funk,"Mc Paiva ZS, MC Ryan SP",
Mc Paiva ZS,"Love Funk, MC Ryan SP",
TWICE,,
Young Thug,"Travis Scott, Dua Lipa, Calvin Harris, Gunna, Metro Boomin, Drake, Future",
Lil Tjay,,
Melody,"Ana Castela, Dj Chris No Beat",
Ana Castela,"AgroPlay, Dj Chris No Beat, Melody, Israel & Rodolffo",
Dj Chris No Beat,"Ana Castela, Melody",
Yng Lvcas,Peso Pluma,
XXXTENTACION,Kanye West,
Musical Youth,,
Blackbear,BoyWithUke,
BoyWithUke,Blackbear,
El Chachito,Junior H,
Trueno,Tiago pzk,
Freddie Dredd,,
L-Gante,Tini,
Loreen,,
Steve Lacy,,
Tulus,,
Jin,,
sped up nightcore,"Lil Uzi Vert, ARIZONATEARS",
ARIZONATEARS,"sped up nightcore, Lil Uzi Vert",
Pedro Sampaio,Mc Pedrinho,
Ovy On The Drums,"Quevedo, Karol G",
Alvaro Diaz,Rauw Alejandro,
Kenshi Yonezu,,
Ellie Goulding,Calvin Harris,
PSY,Suga,
Twisted,Oliver Tree,
Oliver Tree,"Twisted, Robin Schulz",
Nayeon,,
Snoop Dogg,"Benny Blanco, Dr. Dre, BTS",
Benny Blanco,"BTS, Snoop Dogg",
Yung Gravy,,
Oxlade,,
Gustavo Mioto,Mari Fernandez,
Standly,"NICKI NICOLE, Duki, Stars Music Chile, Cris Mj",
Stars Music Chile,"NICKI NICOLE, Duki, Standly, Cris Mj",
Mï¿½ï¿½ne,,
Emmy Meli,,
Katy Perry,Alesso,
Alesso,Katy Perry,
Omar Apollo,,
Migrantes,"Nico Valdi, LiL CaKe",
LiL CaKe,"Migrantes, Nico Valdi",
Nico Valdi,"Migrantes, LiL CaKe",
JISOO,,
AgroPlay,Ana Castela,
BLACKPINK,,
Yuridia,Angela Aguilar,
Angela Aguilar,Yuridia,
AnnenMayKantereit,Giant Rooks,
Giant Rooks,AnnenMayKantereit,
Blxst,"Kendrick Lamar, Amanda Reifer",
Amanda Reifer,"Kendrick Lamar, Blxst",
Lady Gaga,Bradley Cooper,
Lewis Capaldi,,
HA SUNG WOON,Jimin,
Yung Lean,,
Black Eyed Peas,"Shakira, David Guetta",
Darlene Love,,
Interplanetary Criminal,Eliza Rose,
Eliza Rose,Interplanetary Criminal,
Mac DeMarco,,
LF System,,
Kevin Kaarl,,
Rex Orange County,,
Jnr Choi,,
Chuck Berry,,
Joji,,
Lizzo,,
Taiu,Milo j,
Milo j,Taiu,
Villano Antillano,Bizarrap,
Eladio Carrion,Bad Bunny,
Luude,Colin Hay,
Colin Hay,Luude,
