artist,collaborators,followers,total_songs_x,total_songs
Feid,"Nicky Jam, Ozuna, Sean Paul, Jhayco, Yandel, Alejo, Sech, Sky Rompiendo, Paloma Mami, Saiko, Young Miko, Pailita, De La Ghetto, Paulo Londra, Robi, Mora, Quevedo, Polima WestCoast, Myke Towers",11697710,,16.0
Don Omar,Lucenzo,11597840,,1.0
SEVENTEEN,,11569864,,1.0
DJ Khaled,"Lil Baby, Drake",11414059,,1.0
Cigarettes After Sex,,11362724,,1.0
Vishal Dadlani,"Shilpa Rao, Sukriti Kakar, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",11361506,,2.0
Polo G,"Mae Muller, NEIKED",11349491,,2.0
Wiz Khalifa,Maroon 5,11036794,,1.0
Playboi Carti,"The Weeknd, Madonna",10912846,,2.0
Luke Combs,,10668938,,1.0
Duki,"FMK, NICKI NICOLE, Maria Becerra, Standly, Lit Killah, Tiago pzk, Big One, Rusherking, Stars Music Chile, Quevedo, Emilia, De La Ghetto, Cris Mj",10604390,,3.0
Roddy Ricch,Post Malone,10591281,,1.0
Kodak Black,"Kendrick Lamar, JVKE, NLE Choppa, Jimin, Muni Long",10577723,,3.0
Kelly Clarkson,,10433993,,1.0
TOMORROW X TOGETHER,,10098478,,1.0
Mariah Carey,,10029493,,1.0
Young Thug,"Travis Scott, Dua Lipa, Calvin Harris, Gunna, Metro Boomin, Drake, Future",9999063,,4.0
Radiohead,,9979198,,1.0
Lil Yachty,,9961219,,1.0
Daft Punk,"The Weeknd, Pharrell Williams, Nile Rodgers",9916610,,2.0
NF,,9897693,,1.0
Niall Horan,,9877245,,1.0
Conan Gray,,9704019,,1.0
Morgan Wallen,"Lil Durk, Eric Church",9653624,,9.0
Joji,,9544854,,3.0
Fuerza Regida,"Chino Pacas, Grupo Frontera, Peso Pluma, Natanael Cano",9336105,,2.0
(G)I-DLE,,9184905,,2.0
Sabrina Carpenter,,9179091,,1.0
Bebe Rexha,David Guetta,9144634,,1.0
Megan Thee Stallion,Dua Lipa,9140759,,1.0
Burna Boy,,9090876,,2.0
ENHYPEN,,8892655,,3.0
IU,Agust D,8573451,,1.0
Lil Tjay,,8515922,,1.0
Jimin,"JVKE, NLE Choppa, HA SUNG WOON, TAEYANG, Kodak Black, Muni Long",8412513,,6.0
Metro Boomin,"A$AP Rocky, Beam, NAV, A Boogie Wit da Hoodie, Lil Uzi Vert, Offset, Future, 21 Savage, The Weeknd, Young Thug, Roisee, Travis Scott, Don Toliver, Toian, Lil Wayne, Coi Leray, Chris Brown, WizKid, John Legend, James Blake, Swae Lee",8367830,,13.0
A Boogie Wit da Hoodie,"Metro Boomin, NAV, Swae Lee",8233104,,1.0
NewJeans,,8178883,,6.0
NLE Choppa,"JVKE, Kodak Black, Jimin, Muni Long",8169798,,2.0
Troye Sivan,,8165353,,2.0
Black Eyed Peas,"Shakira, David Guetta",8155390,,1.0
Rosalia,"Rauw Alejandro, Wisin & Yandel, The Weeknd",8143088,,0.0
Aventura,Bad Bunny,8023208,,1.0
