artist_name,collaborators,followers,total_songs
Vishal Dadlani,"Shilpa Rao, Sukriti Kakar, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",11361506,
Polo G,"Mae Muller, NEIKED",11349491,
Wiz Khalifa,Maroon 5,11036794,
Playboi Carti,"The Weeknd, Madonna",10912846,
Luke Combs,,10668938,
Duki,"FMK, NICKI NICOLE, Maria Becerra, Standly, Lit Killah, Tiago pzk, Big One, Rusherking, Stars Music Chile, Quevedo, Emilia, De La Ghetto, Cris Mj",10604390,
Roddy Ricch,Post Malone,10591281,
Kodak Black,"Kendrick Lamar, JVKE, NLE Choppa, Jimin, Muni Long",10577723,
Kelly Clarkson,,10433993,
TOMORROW X TOGETHER,,10098478,
Mariah Carey,,10029493,
Young Thug,"Travis Scott, Dua Lipa, Calvin Harris, Gunna, Metro Boomin, Drake, Future",9999063,
Radiohead,,9979198,
Lil Yachty,,9961219,
Daft Punk,"The Weeknd, Pharrell Williams, Nile Rodgers",9916610,
NF,,9897693,
Niall Horan,,9877245,
Conan Gray,,9704019,
Morgan Wallen,"Lil Durk, Eric Church",9653624,
Joji,,9544854,
Fuerza Regida,"Chino Pacas, Grupo Frontera, Peso Pluma, Natanael Cano",9336105,
(G)I-DLE,,9184905,
Sabrina Carpenter,,9179091,
Bebe Rexha,David Guetta,9144634,
Megan Thee Stallion,Dua Lipa,9140759,
Burna Boy,,9090876,
ENHYPEN,,8892655,
IU,Agust D,8573451,
Lil Tjay,,8515922,
Jimin,"JVKE, NLE Choppa, HA SUNG WOON, TAEYANG, Kodak Black, Muni Long",8412513,
Metro Boomin,"A$AP Rocky, Beam, NAV, A Boogie Wit da Hoodie, Lil Uzi Vert, Offset, Future, 21 Savage, The Weeknd, Young Thug, Roisee, Travis Scott, Don Toliver, Toian, Lil Wayne, Coi Leray, Chris Brown, WizKid, John Legend, James Blake, Swae Lee",8367830,
A Boogie Wit da Hoodie,"Metro Boomin, NAV, Swae Lee",8233104,
NewJeans,,8178883,
NLE Choppa,"JVKE, Kodak Black, Jimin, Muni Long",8169798,
Troye Sivan,,8165353,
Black Eyed Peas,"Shakira, David Guetta",8155390,
Rosalia,"Rauw Alejandro, Wisin & Yandel, The Weeknd",8143088,
Aventura,Bad Bunny,8023208,
Tini,"Maria Becerra, Steve Aoki, La Joaqui, Anitta, L-Gante, Becky G",7942812,
Madonna,"Playboi Carti, The Weeknd",7910987,
YOASOBI,,7881644,
Jin,,7833461,
Jhayco,"Quevedo, Feid, Sech",7687324,
Jhay Cortez,"Myke Towers, Bad Bunny, Anuel Aa",7687324,
Yandel,Feid,7674407,
Zion & Lennox,,7588212,
Jonas Brothers,Marshmello,7586720,
Skrillex,"Fred again.., Flowdan",7580640,
Lil Durk,"Morgan Wallen, Kanye West, J. Cole, Cardi B",7571966,
Lisa,TAEYANG,7543427,
Vishal-Shekhar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Caralisa Monteiro, Kumaar",7415685,
Gunna,"Lil Baby, 21 Savage, Future, Young Thug",7382073,
Chase Atlantic,,7369638,
Wisin & Yandel,Rosalia,7328889,
The Killers,,7299074,
Kali Uchis,"Tyler, Moliy, The Creator, Amaarae",7280515,
Hozier,,7250388,
girl in red,,7245276,
De La Ghetto,"Feid, Arcangel, Duki, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Polima WestCoast, Paloma Mami, Dalex, Justin Quiles, Dimelo Flow, Quevedo, Pailita",7197359,
Frank Sinatra,B. Swanson Quartet,7183356,
Rels B,,7158609,
Blake Shelton,Gwen Stefani,7131775,
Mc Livinho,DJ Matt D,7065518,
Kevin Kaarl,,7022873,
Eladio Carrion,Bad Bunny,6904046,
Tyga,Doja Cat,6853021,
John Legend,Metro Boomin,6791883,
Tory Lanez,,6729259,
TV Girl,,6632719,
Creedence Clearwater Revival,,6620714,
Gwen Stefani,Blake Shelton,6500015,
Summer Walker,"Kendrick Lamar, Ghostface Killah",6458804,
Maria Becerra,"FMK, J Balvin, NICKI NICOLE, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Emilia, Tini",6450711,
Trueno,Tiago pzk,6320228,
The Police,,6108976,
Ana Castela,"AgroPlay, Dj Chris No Beat, Melody, Israel & Rodolffo",6084873,
Kevin Gates,Juicy J,6084650,
Nengo Flow,"Chris Jedi, Bad Bunny, Anuel Aa, Chencho Corleone",6061723,
John Lennon,"The Harlem Community Choir, Yoko Ono, The Plastic Ono Band",6018766,
Rex Orange County,,6004459,
Daniel Caesar,"Giveon, Justin Bieber",5936558,
Mac DeMarco,,5935657,
Kenshi Yonezu,,5911596,
La Adictiva,Luis R Conriquez,5889367,
Gustavo Mioto,Mari Fernandez,5828407,
Lizzo,,5714675,
Calum Scott,Lost Frequencies,5606774,
Eslabon Armado,Peso Pluma,5529700,
Central Cee,Dave,5524671,
Lit Killah,"FMK, NICKI NICOLE, Maria Becerra, Duki, Tiago pzk, Big One, Rusherking, Emilia",5473565,
WizKid,"Don Toliver, Beam, Toian, Metro Boomin, Kyla, Drake",5458492,
Tate McRae,,5431931,
Danny Ocean,,5424448,
The Kid Laroi,Justin Bieber,5341491,
LE SSERAFIM,Nile Rodgers,5269643,
Nio Garcia,"Bad Bunny, J Balvin",5269156,
Luis R Conriquez,"La Adictiva, Peso Pluma",5240010,
Alec Benjamin,,5081042,
Miguel,,5075013,
AP Dhillon,"Gurinder Gill, Intense",5034789,
Tiago pzk,"Bizarrap, FMK, NICKI NICOLE, Maria Becerra, Duki, Ozuna, Lit Killah, Big One, Rusherking, Trueno, Emilia",5032999,
Mora,"Feid, Sech, Bad Bunny, Saiko, Quevedo",5032856,
Dove Cameron,,4997564,
MC Ryan SP,"Love Funk, Mc Paiva ZS",4988242,
Blackbear,BoyWithUke,4948303,
YEAT,,4911820,
Kenia OS,,4904522,
BIGBANG,,4877150,
Paul McCartney,,4778503,
Suga,"Halsey, PSY",4734068,
Zendaya,Labrinth,4693265,
Sean Paul,"Dua Lipa, Feid",4688191,
Mc Paiva ZS,"Love Funk, MC Ryan SP",4682183,
Steve Lacy,,4664975,
King,,4617592,
Mc Pedrinho,"Pedro Sampaio, DJ 900",4577467,
Quevedo,"Bizarrap, Feid, Mora, La Pantera, Duki, Cruz CafunÃ¯Â¿Â½Ã¯Â¿Â½, Juseph, De La Ghetto, Abhir Hathi, Saiko, Ovy On The Drums, Myke Towers, Jhayco, BÃ¯Â¿Â½Ã¯Â¿Â½jo, Karol G",4575599,
Pharrell Williams,"Justin Timberlake, 21 Savage, Tyler, Calvin Harris, Halsey, Daft Punk, Nile Rodgers, The Creator",4507602,
JVKE,"Kodak Black, Jimin, Muni Long, NLE Choppa",4445940,
Yuridia,Angela Aguilar,4429765,
Don Toliver,"WizKid, SZA, Beam, Toian, Metro Boomin, Justin Bieber, Future",4424571,
Plan B,,4334853,
Grupo Marca Registrada,"Grupo Frontera, Junior H",4277542,
Veigh,"Bvga Beatz, Prod Malax, Supernova Ent",4267886,
Mabel Matiz,Mert Demir,4224167,
IVE,,4192041,
BoyWithUke,Blackbear,4168389,
Zach Bryan,,4146267,
L7nnon,"DJ Biel do Furduncinho, Bianca",4145422,
Glass Animals,,4135798,
PnB Rock,,4126996,
Offset,"Metro Boomin, Lil Wayne, Swae Lee, JID",4084694,
BLESSD,Peso Pluma,4059590,
Grupo Frontera,"Yahritza Y Su Esencia, Carin Leon, Grupo Marca Registrada, Bad Bunny, Fuerza Regida, Peso Pluma",4034048,
NIKI,,4014536,
Alesso,Katy Perry,3887927,
Shubh,,3847542,
Tom Odell,,3841917,
Eric Church,Morgan Wallen,3835889,
Giveon,"Daniel Caesar, Justin Bieber",3822375,
Jack Harlow,Lil Nas X,3809382,
Swedish House Mafia,The Weeknd,3756582,
Steve Aoki,"La Joaqui, Tini",3742228,
Ke personajes,"Big One, FMK",3690076,
Tony Dize,Bad Bunny,3689942,
Ice Spice,"PinkPantheress, Aqua, Nicki Minaj, Taylor Swift",3651157,
teto,,3636874,
Sofia Carson,,3599326,
JISOO,,3569060,
Milo j,Taiu,3549976,
Ruth B.,,3493725,
NAV,"Metro Boomin, Swae Lee, A Boogie Wit da Hoodie",3472493,
Tears For Fears,,3446064,
Treasure,,3374872,
Keane,,3373828,
PinkPantheress,Ice Spice,3370249,
Baby Rasta,Rauw Alejandro,3320047,
