artist(s)_name,collaborators,followers,total_songs,artist_popularity
Duki,"FMK, NICKI NICOLE, Maria Becerra, Standly, Lit Killah, Tiago pzk, Big One, Rusherking, Stars Music Chile, Quevedo, Emilia, De La Ghetto, Cris Mj",10604390,,82
Roddy Ricch,Post Malone,10591281,,77
Kodak Black,"Kendrick Lamar, JVKE, NLE Choppa, Jimin, Muni Long",10577723,,82
Kelly Clarkson,,10433993,,73
TOMORROW X TOGETHER,,10098478,,78
Mariah Carey,,10029493,,78
Young Thug,"Travis Scott, Dua Lipa, Calvin Harris, Gunna, Metro Boomin, Drake, Future",9999063,,85
Radiohead,,9979198,,83
Lil Yachty,,9961219,,80
Daft Punk,"The Weeknd, Pharrell Williams, Nile Rodgers",9916610,,81
NF,,9897693,,79
Niall Horan,,9877245,,76
Conan Gray,,9704019,,79
Morgan Wallen,"Lil Durk, Eric Church",9653624,,91
Joji,,9544854,,79
Fuerza Regida,"Chino Pacas, Grupo Frontera, Peso Pluma, Natanael Cano",9336105,,88
(G)I-DLE,,9184905,,76
Sabrina Carpenter,,9179091,,95
Bebe Rexha,David Guetta,9144634,,81
Megan Thee Stallion,Dua Lipa,9140759,,84
Burna Boy,,9090876,,81
ENHYPEN,,8892655,,81
IU,Agust D,8573451,,71
Lil Tjay,,8515922,,78
Jimin,"JVKE, NLE Choppa, HA SUNG WOON, TAEYANG, Kodak Black, Muni Long",8412513,,89
Metro Boomin,"A$AP Rocky, Beam, NAV, A Boogie Wit da Hoodie, Lil Uzi Vert, Offset, Future, 21 Savage, The Weeknd, Young Thug, Roisee, Travis Scott, Don Toliver, Toian, Lil Wayne, Coi Leray, Chris Brown, WizKid, John Legend, James Blake, Swae Lee",8367830,,90
A Boogie Wit da Hoodie,"Metro Boomin, NAV, Swae Lee",8233104,,79
NewJeans,,8178883,,82
NLE Choppa,"JVKE, Kodak Black, Jimin, Muni Long",8169798,,79
Troye Sivan,,8165353,,78
Black Eyed Peas,"Shakira, David Guetta",8155390,,81
Rosalia,"Rauw Alejandro, Wisin & Yandel, The Weeknd",8143088,,83
Aventura,Bad Bunny,8023208,,81
Tini,"Maria Becerra, Steve Aoki, La Joaqui, Anitta, L-Gante, Becky G",7942812,,79
Madonna,"Playboi Carti, The Weeknd",7910987,,81
YOASOBI,,7881644,,76
Jin,,7833461,,73
Jhayco,"Quevedo, Feid, Sech",7687324,,84
Jhay Cortez,"Myke Towers, Bad Bunny, Anuel Aa",7687324,,84
Yandel,Feid,7674407,,80
Zion & Lennox,,7588212,,77
Jonas Brothers,Marshmello,7586720,,75
Skrillex,"Fred again.., Flowdan",7580640,,77
Lil Durk,"Morgan Wallen, Kanye West, J. Cole, Cardi B",7571966,,81
Lisa,TAEYANG,7543427,,82
Vishal-Shekhar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Caralisa Monteiro, Kumaar",7415685,,76
Gunna,"Lil Baby, 21 Savage, Future, Young Thug",7382073,,87
Chase Atlantic,,7369638,,82
Wisin & Yandel,Rosalia,7328889,,80
The Killers,,7299074,,79
Kali Uchis,"Tyler, Moliy, The Creator, Amaarae",7280515,,85
Hozier,,7250388,,86
girl in red,,7245276,,76
De La Ghetto,"Feid, Arcangel, Duki, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Polima WestCoast, Paloma Mami, Dalex, Justin Quiles, Dimelo Flow, Quevedo, Pailita",7197359,,78
Frank Sinatra,B. Swanson Quartet,7183356,,78
Rels B,,7158609,,84
Blake Shelton,Gwen Stefani,7131775,,74
Mc Livinho,DJ Matt D,7065518,,72
Kevin Kaarl,,7022873,,74
Eladio Carrion,Bad Bunny,6904046,,81
Tyga,Doja Cat,6853021,,78
John Legend,Metro Boomin,6791883,,76
Tory Lanez,,6729259,,82
TV Girl,,6632719,,83
Creedence Clearwater Revival,,6620714,,82
Gwen Stefani,Blake Shelton,6500015,,74
Summer Walker,"Kendrick Lamar, Ghostface Killah",6458804,,80
Maria Becerra,"FMK, J Balvin, NICKI NICOLE, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Emilia, Tini",6450711,,82
Trueno,Tiago pzk,6320228,,81
The Police,,6108976,,78
