track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,Genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,streamss,in_shazam_charts
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,9,0,547329.75,5.47E-05,K-pop,Major,77,35,88,16,0,17,9,137,G#,3,55
My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,548840.178,5.49E-05,Romantic,Major,60,24,39,57,0,8,3,144,A,3,0
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,549936.156,5.50E-05,Pop,Major,75,85,84,10,0,31,19,110,D,3,0
So Good,Halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,550687.578,5.51E-05,Pop,Minor,63,29,62,4,0,18,4,83,D#,3,0
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,9,0,552210.69,5.52E-05,K-pop,Minor,80,38,88,11,0,11,5,104,E,3,49
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,8,5,2,0,560205.222,5.60E-05,Hip-Hop,Minor,85,40,43,4,0,39,32,142,F,3,0
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,7,29,3,0,564034.716,5.64E-05,Hip-Hop,Minor,73,71,69,53,0,32,9,150,A#,3,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,565118.796,5.65E-05,Hip-Hop,Minor,60,13,53,4,0,21,4,90,A,3,44
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,567698.922,5.68E-05,Spanish Hip-Hop,Minor,59,70,74,56,0,11,40,71,C#,3,0
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13,110,8,2,570321.804,5.70E-05,Spanish Hip-Hop,Major,78,70,81,57,0,10,5,122,,3,60
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,570791.988,5.71E-05,Hip-Hop,Minor,74,76,76,6,0,10,9,172,C#,3,162
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,571303.89,5.71E-05,Hip-Hop,Minor,85,22,62,12,0,28,9,130,C#,3,953
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,0,0,573738.888,5.74E-05,Rock,Major,56,72,85,0,0,15,3,104,G#,3,103
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,11,2,574896.144,5.75E-05,Pop,Minor,73,44,57,39,0,32,6,89,G,3,24
Alone,Burna Boy,1,2022,11,4,782,2,96007391,27,18,32,1,576044.346,5.76E-05,Hip-Hop,Minor,61,32,67,15,0,11,5,90,E,3,0
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,577081.662,5.77E-05,Pop,Minor,60,10,57,1,0,50,3,119,A,3,0
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,577642.476,5.78E-05,K-pop,Minor,82,69,83,3,0,27,5,130,E,3,148
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,5,31,1,0,592255.974,5.92E-05,Hip-Hop,Major,65,35,65,44,18,21,7,152,C#,3,0
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,546020.9136,5.46E-05,Hip-Hop,Minor,49,49,59,44,0,35,21,87,E,3,0
Right On,Lil Baby,1,2022,4,8,1116,0,101780047,31,9,15,0,549612.2538,5.50E-05,Pop,Major,70,22,61,2,0,10,34,166,D,3,1
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664,86,1,49,0,560453.3856,5.60E-05,Pop,Major,70,84,90,17,0,41,6,115,,3,9
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,0,0,566961.9084,5.67E-05,Pop,Major,90,74,68,14,0,10,19,148,A,3,0
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29,3,18,0,567336.1716,5.67E-05,Pop,Minor,84,44,67,8,0,11,6,137,C#,4,19
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,3,8,5,0,573745.7826,5.74E-05,Hip-Hop,Major,64,11,53,1,0,25,27,120,D,4,0
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,26,1,17,0,577366.272,5.77E-05,Pop,Minor,82,82,66,13,0,11,6,150,G#,4,0
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,577438.7778,5.77E-05,Pop,Major,89,59,64,5,0,19,7,88,G,4,0
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,579179.5488,5.79E-05,Hip-Hop,Minor,47,50,80,10,0,32,38,147,G#,4,0
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12,56,13,0,581271.1686,5.81E-05,K-pop,Minor,71,83,89,1,0,17,9,125,A#,4,13
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,581870.79,5.82E-05,Spanish Hip-Hop,Minor,72,17,64,7,0,10,5,106,A#,4,110
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573,0,0,14,0,589094.4942,5.89E-05,Hip-Hop,Major,77,68,70,6,0,17,20,81,,4,0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,31,0,590091.1128,5.90E-05,Hip-Hop,Major,63,22,54,46,0,12,8,140,,4,189
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,16,20,4,0,594395.55,5.94E-05,Rock,Major,62,59,43,84,3,11,5,125,F#,4,0
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,3,7,10,0,597509.9568,5.98E-05,Hip-Hop,Major,80,15,54,9,0,38,5,112,G#,4,0
